id,name
286,Anthony Perkins
287,Anthony Quayle
288,Anthony Quinn
289,Anthony Ruggiero
290,Anthony Wong Chau-Sang
291,Antoine Balpêtré
292,Antoine Chappey
293,Anton Walbrook
294,Antonella Costa
295,Antonia Bill
296,Antonia Guzmán
297,Antonia Truppo
298,Antonie Jaeckel
299,Antonin Artaud
300,Antonin Zacpal
301,Antonina Shuranova
302,Antonio Bachiller
303,Antonio Bolivar
304,Antonio Canal
305,Antonio Centa
306,Antonio Ferrari
307,Antonio Orlando
308,Antonio Piovanelli
309,Antonín Kumbera
310,Anzhelika Nevolina
311,April Kent
312,Arata
313,Arata Yamanaka
314,Arda Aranat
315,Aretha Franklin
316,Ari Boulogne
317,Ariane Ascaride
318,Arie Verveen
319,Arkaney Cherkam
320,Arletty
321,Armando Brancia
322,Arnold Korff
323,Arnold Lucy
324,Arnold Schwarzenegger
325,Arnoldo Foà
326,Art Smith
327,Artem Bystrov
328,Arthur Byron
329,Arthur Edmund Carewe
330,Arthur Hohl
331,Arthur Howard
332,Arthur Hoyt
333,Arthur Kennedy
334,Arthur Loft
335,Arthur O'Connell
336,Arthur O'Sullivan
337,Arthur Stone
338,Arthur Wontner
339,Artigas
340,Artur Barcis
341,Arturo Bragaglia
342,Arturo de Córdova
343,Aseefa Bhutto Zardari
344,Ashley Judd
345,Astrid Holm
346,Asuka Kurosawa
347,Atsuo Nakamura
348,Atsushi Watanabe
349,Attori non professionisti
350,Aubrey Morris
351,Aud Egede-Nissen
352,Audrey Hepburn
353,Audrey Totter
354,August Bischof
355,August Falck
356,Aurora Miranda
357,Aurora Walker
358,Aurore Clément
359,Austin Stoker
360,Ava Gardner
361,Ave Ninchi
362,Avis Bunnage
363,Axel Düberg
364,Aya Irizuki
365,Aya Kokumai
366,Ayako Iijima
367,Ayako Wakai
368,Ayako Wakao
369,Aziz Babai
370,B.J. Novak
371,Babak Ansari
372,Babak Karimi
373,Babek Ahmed Poor
374,Baby Hathaway
375,Bae Doo-Na
376,Baia Dvalishvili
377,Bakhtawar Bhutto Zardari
378,Balthazar Clémenti
379,Balthazar Getty
380,Banaue Miclat
381,Barbara Balogh
382,Barbara Bates
383,Barbara Bel Geddes
384,Barbara Crampton
385,Barbara Gordon
386,Barbara Harris
387,Barbara Kent
388,Barbara Laage
389,Barbara Loden
390,Barbara Pepper
391,Barbara Simon
392,Barbara Stanwyck
393,Barbara Steele
394,Barbara Sukowa
395,Barbara Whiting
396,Barbora Hrzánová
397,Barna Mihók
398,Barry Corbin
399,Barry Fitzgerald
400,Barry Foster
401,Barry Levinson
402,Barry Pepper
403,Bartolomeo Pagano
404,Barton Heyman
405,Barton McLane
406,Bastien d'Asnières
407,Beatrice Macola
408,Beau Bridges
409,Bebe Daniels
410,Bee Vang
411,Ben Chaplin
412,Ben Cooper
413,Ben Cura
414,Ben Gazzara
415,Ben Hiura
416,Ben Johnson
417,Ben Kingsley
418,Ben Roseman
419,Ben Shenkman
420,Benazir Bhutto
421,Bengt Ekerot
422,Benito Stefanelli
423,Benjamin Bollen
424,Benjamin Hendrickson
425,Benjamin Lazar
426,Benoît Régent
427,Bent Simons
428,Bergliot Husberg
429,Berke Bük
430,Bernadette Lafont
431,Bernard Blier
432,Bernard Bloch
433,Bernard Bombeau
434,Bernard Fresson
435,Bernard Ladysz
436,Bernard Lee
437,Bernard Menez
438,Bernard Verley
439,Bernardo Bertolucci
440,Bernardo Santos
441,Bernhard Goetzke
442,Berry Kroeger
443,Bert Freed
444,Bert Lyttel
445,Bert Remsen
446,Bert Roach
447,Bertil Guve
448,Bess Motta
449,Beth Grant
450,Betsy Blair
451,Bette Davis
452,Betty Ann Davies
453,Betty Bronson
454,Betty Compson
455,Betty Schuurman
456,Beulah Bondi
457,Beulah Garrick
458,Bharati Devi
459,Bibi Andersson
460,Bilawal Bhutto Zardari
461,Bill Greene
462,Bill Hickman
463,Bill Murray
464,Bill Paxton
465,Bill Pullman
466,Bill Strother
467,Bill Travers
468,Bill Williams
469,Bill Zuckert
470,Billy Bob Thornton
471,Billy Chow
472,Billy Drago
473,Billy Gilbert
474,Billy Ray Cyrus
475,Biman Mouafi
476,Bing Crosby
477,Bingbing Fan
