id,name
292,Leyla Yilmaz
293,Lloyd Bacon
294,Louis C.K.
295,Louis Feuillade
296,Louis Malle
297,Luc Dardenne
298,Lucas Belvaux
299,Luchino Visconti
300,Lucian Pintilie
301,Luigi Comencini
302,Luis Buñuel
303,Léontine Sagan
304,Mahamat-Saleh Haroun
305,Man Ray
306,Manuel Mur Oti
307,Marcel Carné
308,Marcel Duchamp
309,Marco Bellocchio
310,Marco Berger
311,Marco Ferreri
312,Mariano Llinás
313,Mario Bava
314,Mario Monicelli
315,Mark Jean
316,Mark Sandrich
317,Martin Ritt
318,Martin Scorsese
319,Martti Helde
320,Masaki Kobayashi
321,Matthew Aeberhard
322,Matthias Glasner
323,Maurice Pialat
324,Maurice Tourneur
325,Mauritz Stiller
326,Max Ophüls
327,Max Reinhardt
328,Mel Brooks
329,Merian C. Cooper
330,Mervyn LeRoy
331,Michael Cimino
332,Michael Curtiz
333,Michael Haneke
334,Michael Mann
335,Michael Powell
336,Michelangelo Antonioni
337,Michele Soavi
338,Miguel Gomes
339,Mike Nichols
340,Mike Van Diem
341,Mikio Naruse
342,Miklos Jancso
343,Milos Forman
344,Mitchell Leisen
345,Mohsen Makhmalbaf
346,Morgan Neville
347,Mu Fei
348,Márta Mészáros
349,Nagisa Oshima
350,Nelo Risi
351,Nicholas Ray
352,Nobuo Nakagawa
353,Norman McLeod
354,Oliver Stone
355,Orson Welles
356,Otto Preminger
357,Pascal Arnold
358,Patrick Sheane Duncan
359,Paul Czinner
360,Paul Leni
361,Paul Newman
362,Paul Thomas Anderson
363,Paul Vecchiali
364,Paul Wendkos
365,Pedro Almodóvar
366,Peicheng Pan
367,Pen-ek Ratanaruang
368,Peter Bogdanovich
369,Peter Greenaway
370,Peter Watkins
371,Peter Weir
372,Petr Zelenka
373,Philippe Garrel
374,Philippe Grandrieux
375,Philippe Harel
376,Pier Paolo Pasolini
377,Pierre Granier-Deferre
378,Pierre Lhomme
379,Pietro Germi
380,Preston Sturges
381,Pál Fejös
382,Quentin Tarantino
383,Radley Metzger
384,Rafaël Cherkaski
385,Rainer Werner Fassbinder
386,Raoul Ruiz
387,Raoul Walsh
388,René Clair
389,René Clément
390,Rezo Chkheidze
391,Richard Brooks
392,Richard Rosson
393,Ridley Scott
394,Ringo Lam
395,Ritwik Ghatak
396,Robert Aldrich
397,Robert Altman
398,Robert Bresson
399,Robert Gordon
400,Robert Hamer
401,Robert J. Flaherty
